Frequency (Hz),Channel 1 (dBV),Phase (deg)
0,-47.97126219902056,179.9999999999996
0.2,-57.20284545394392,10.33777639446425
0.4,-70.26816626558683,76.97409042698081
0.6,-70.87519656884319,27.89419356221481
0.8,-71.48673368730802,-20.78129099207995
1,-72.16220018275015,-69.05294360079668
1.2,-73.18962803168743,-116.763032983318
1.4,-73.84881819556232,-162.595561868328
1.6,-74.61562802956242,151.8162371717788
1.8,-75.61853954322555,107.0709715284673
2,-76.37812164010978,63.92308423849222
2.2,-77.01084127507607,21.2718075764427
2.4,-77.53922848924046,-24.16964392742299
2.6,-78.13547492647233,-65.14876164970617
2.8,-78.68484075583497,-108.9730239828475
3,-79.60913516332467,-154.2405544859033
3.2,-79.94978041985664,165.2958956302901
3.4,-80.69705690696975,125.2882371448278
3.6,-81.23562681161761,85.13626187152234
3.8,-81.21967102970615,42.79791094560719
4,-81.05022009287487,-0.9607567623072516
4.2,-81.67305073803776,-44.14950580824617
4.4,-82.3436451385239,-86.2367294082802
4.6,-82.48483951255685,-131.1845961793923
4.8,-83.64114705883524,-170.1733887301873
5,-83.62472222467721,148.5714468073263
5.2,-83.8534801835726,107.2173535138438
5.4,-84.31062018578571,64.25670352503289
5.6,-85.27486397542535,24.0707503965826
5.8,-84.92527141042466,-17.86977927495146
6,-85.61760686076317,-57.74744463436133
6.2,-85.17638562581483,-101.1439876771833
6.4,-86.10939578769639,-143.0558822028381
6.6,-86.05307933164546,174.0554834952802
6.8,-86.32503627314952,133.3146610609772
7,-86.92807132885477,90.21038868104726
7.2,-87.1522758720625,48.30752662019044
7.4,-87.34509533837853,11.13112273406181
7.6,-87.55731904069712,-32.84989363013314
7.8,-87.95502044179102,-73.66010576430872
8,-87.69867137173517,-113.6720284954704
8.199999999999999,-87.94335593815194,-159.2432688971092
8.4,-88.5243587703855,162.7589105978327
8.6,-89.26188036749068,121.3912452456052
8.800000000000001,-88.8732158728793,76.27593261995952
9,-89.30353018527599,49.37849221221015
9.199999999999999,-89.94132423498112,0.2590743531156958
9.4,-88.78803886796231,-39.83603150709691
9.6,-89.86598605465515,-82.61215309546424
9.800000000000001,-89.29785993130183,-124.3984289483082
10,-90.03897725932157,-163.8799011546751
10.2,-90.69750707887817,152.586680169649
10.4,-89.83033335695185,108.5756334702132
10.6,-90.35708079916391,70.60830739153283
10.8,-91.30269019486471,29.38505729048867
11,-91.39772983132815,-10.72446320675625
11.2,-91.70722766212509,-52.13997350399575
11.4,-90.85025398388527,-96.22458289425539
11.6,-90.84407342167891,-132.9841814903672
11.8,-92.56815783291563,177.2290159395676
12,-91.54640140871695,137.707964334515
12.2,-92.4140076553916,93.13845444028415
12.4,-92.15325191012414,60.59269727372705
12.6,-92.53847811492228,18.56069446144201
12.8,-92.12693224581813,-24.44359948755288
13,-92.44991371979509,-75.40187491805656
13.2,-92.30071276353709,-104.3490169050168
13.4,-92.30326145718405,-149.8792205351671
13.6,-93.85203182747789,164.6323954950792
13.8,-92.4856826341794,127.5198498460446
14,-93.0045378607619,85.65558784297068
14.2,-93.22386628213495,46.79133574293184
14.4,-93.6235523757116,7.442259631098965
14.6,-93.8578628366608,-38.40541722784129
14.8,-94.08348571541271,-75.18572724704478
15,-93.21886416864274,-112.9925420346004
15.2,-93.69058216614559,-159.437250338842
15.4,-95.09918284205696,158.6900945141662
15.6,-94.10550796851999,117.4512670814502
15.8,-94.09858324909311,81.09636284691149
16,-94.69510590502404,37.74136362238342
16.2,-94.38499423310192,-1.602709567910472
16.4,-93.80372834712303,-48.7402571094844
16.6,-94.80372462733925,-93.30676456257788
16.8,-94.684770372602,-130.91493059272
17,-95.78630629529826,-171.1592541924447
17.2,-95.93638763593633,144.1735875642455
17.4,-94.82315785498999,112.4742525455359
17.6,-95.6258144126388,59.93742459981097
17.8,-95.20406161747317,23.33143838188237
18,-96.60619019362541,-12.78591231285167
18.2,-95.75107628180946,-66.28348121687443
18.4,-95.85145365383443,-95.44858124389849
18.6,-96.4859556186112,-134.3527367672077
18.8,-95.1935140026784,176.029341874006
19,-95.76087969501707,137.3410032386219
19.2,-96.72545768820626,94.37330418570288
19.4,-96.45718784649128,57.51310731807543
19.6,-95.75711404557012,23.53073890469447
19.8,-97.98319247434641,-22.8571267097223
20,-93.42375953328157,-61.18808919684133
20.2,-96.7550990594679,-109.146543213074
20.4,-95.88778745267635,-160.8179613902627
20.6,-97.88054372385226,168.5601279771431
20.8,-96.30030342416175,126.4396368637499
21,-96.7057853258069,83.25503129230995
21.2,-96.81761495447915,37.64314970303759
21.4,-97.14054571713176,-2.382729351316362
21.6,-97.57514389062889,-44.38409978987684
21.8,-97.60414554445724,-83.38636529893498
22,-99.51170712233315,-119.2065825013728
22.2,-96.59246298649647,-158.3204445204231
22.4,-96.42363797957626,159.2859385641169
22.6,-97.00448438311264,107.1889162355344
22.8,-97.73395093748053,63.39302213992437
23,-96.96531291210478,25.0041447449449
23.2,-98.04680636445964,-14.37519292043532
23.4,-99.10571124000988,-50.82747515520805
23.6,-97.89700546903984,-96.83297365519742
23.8,-97.45698643380953,-134.8230831744169
24,-97.84266483170285,-173.5248605574995
24.2,-97.26439012263505,138.2161242018612
24.4,-97.31983069464009,97.8579052648157
24.6,-97.83194467649766,54.04298649660009
24.8,-97.15870399727518,8.151237160748419
25,-99.34481772563677,-29.47103242540692
25.2,-98.5400300875277,-63.70709373950394
25.4,-98.1632550595461,-112.8038011191369
25.6,-98.56168667609396,-153.8562799394394
25.8,-97.42654420853201,169.0571073577572
26,-99.56495767768168,120.130825789712
26.2,-98.38761612622015,69.81400956269974
26.4,-98.87399313235805,46.60570531129641
26.6,-98.85526081705319,-0.0507850023862435
26.8,-98.80407736113446,-46.53955436227685
27,-98.97277730921263,-75.37658951307701
27.2,-97.35359215392661,-136.6485175434038
27.4,-98.09159319638567,-161.4858895128458
27.6,-97.96014986585919,143.8500333222402
27.8,-97.94346454962354,96.75909736681152
28,-98.87602118524876,57.46930148438915
28.2,-100.0529210982783,17.26249729013047
28.4,-97.42671498991,-26.00497039308663
28.6,-100.1737148513834,-61.21357581987493
28.8,-99.1011343007836,-111.7212304760332
29,-97.54335533518521,-143.6115467860428
29.2,-98.88347750864926,163.3036241882337
29.4,-97.55693796420087,123.1418835347419
29.6,-98.13723993843797,77.79240440869789
29.8,-98.20176344329489,27.26289504389125
30,-99.85973967464999,-10.1702046707527
30.2,-98.84432859013481,-51.95997223585528
30.4,-99.71558693997542,-89.33229069582876
30.6,-97.6892962881426,-137.7258977899746
30.8,-99.75001063156745,174.255713916896
31,-98.17304431855442,133.5631183849865
31.2,-99.24885353162153,92.01040375256913
31.4,-99.09419614979018,34.4393386867928
31.6,-98.69965384180817,-4.073615745164642
31.8,-99.31053265037244,-36.35874717402823
32,-99.70401597045336,-86.88365410546911
32.2,-98.28365745578354,-135.3819492292014
32.4,-97.11502374748079,-168.4419230021168
32.6,-97.02801322929713,131.4562441100364
32.8,-96.49568874811429,85.84915300454799
33,-95.89751110586947,37.6377380697158
33.2,-94.78463718740529,-15.32825596795203
33.4,-94.89239807409558,-66.8311537712646
33.6,-94.3618851511375,-119.7425011979259
33.8,-93.68862227052523,-165.1858040808947
34,-93.10725308655788,131.0415227932941
34.2,-93.29907306059242,81.922929372423
34.4,-92.36889959095402,25.72069917489176
34.6,-92.73722319754089,-33.4218477778434
34.8,-92.25354155619365,-85.14596782942162
35,-92.86155318174801,-144.2357960567816
35.2,-93.03038663633211,164.0703502443612
35.4,-93.73080438214053,104.3837723046481
35.6,-94.19982894004356,62.86084449349469
35.8,-94.26028701357546,0.9126476569769324
36,-95.23370078613053,-49.73991617273695
36.2,-96.64187409679005,-100.1669692791991
36.4,-96.6509496983476,-145.8372424303672
36.6,-97.55878328484336,168.4241581221819
36.8,-99.15873004539907,115.6069095009684
37,-97.86972444998224,80.29028441310957
37.2,-98.70602664536186,19.9921998638189
37.4,-100.4245183570011,-21.94613828189577
37.6,-101.2271723424267,-56.99803493461359
37.8,-102.263185731086,-109.0416052935941
38,-100.1201396081939,-144.0403973178381
38.2,-102.6303532398776,168.0152827510747
38.4,-100.980571521284,122.5730981424814
38.6,-101.9256930904778,70.33073968449264
38.8,-102.2743692989836,26.68938163079348
39,-105.8721982398582,-28.22958483410423
39.2,-104.2299820993003,-43.56716312738072
39.4,-105.2264144468887,-75.34425621388897
39.6,-102.554178357549,-147.4468016794141
39.8,-104.4486911383764,-171.3815205107181
40,-106.4402150756844,122.6518716902484
40.2,-107.8361096381173,75.40785516328113
